Day,Month,Year,Title,Duration [s]
1,September,1939,001 -The Polish-German War - WW2,697
8,September,1939,002 - World War Two Begins - WW2,697
15,September,1939,003 - Poland on Her Own - WW2,687
22,September,1939,004 - The Russians are Coming! - The Soviet Invasion of Poland - WW2,729
29,September,1939,005 - Poland is Crushed - WW2,648
6,October,1939,006 - Poland Falls and China Rises - WW2,662
13,October,1939,007 - The Baltic in Stalin's Squeeze - WW2,627
20,October,1939,008 - The Submarine War - WW2,664
27,October,1939,009 - Stalin's Murderous Adventures - Occupation of Poland - WW2,682
3,November,1939,010 - Molotov's Heel on Finland and the Phoney War - WW2,610
10,November,1939,011 - Hitler Almost Killed - WW2,625
17,November,1939,012 - The Mysterious Threat to the Royal Navy - Magnetic Mines - WW2,636
24,November,1939,013 - Will the Kriegsmarine Rule the Waves? - WW2,591
1,December,1939,014 - The Winter War - WW2,628
8,December,1939,015 - The Invasion of Finland - WW2,678
15,December,1939,016 - Perkele! Finland Strikes Back - WW2,679
22,December,1939,017 - Trouble in China - WW2,689
29,December,1939,018 - Stalin’s Unexpected Bedfellows - Soviet Relations in East Asia - WW2,742
5,January,1940,019 - The Finns Strike Again and Japan Strikes Back - WW2,647
12,January,1940,020 - The Red Army Regroups to Crush Finland - WW2,662
19,January,1940,021 - Swedes not Sweden to Finland's Rescue - WW2,745
26,January,1940,022 - The Enigma of Germany's Wartime Economy - WW2,723
2,February,1940,023 - The Soviet Hammer Strikes Hard at Finland - WW2,676
9,February,1940,"024 - Stalemate in China, Bombs over Finland - WW2",696
16,February,1940,025 - Finland’s Desperate Fight - WW2,684
23,February,1940,026 - Manstein Makes a Plan and Hitler has a Man Crush - WW2,591
2,March,1940,027 - Hitler Plans His New Wars - Fall Gelb - WW2,675
5,March,1940,Outbreak of the War Against Humanity - WW2 - WaH 001,1108
9,March,1940,028 - Finnish Winter is Almost Over - WW2,775
16,March,1940,029 - The Soviets Finish a Costly Winter War - WW2,669
23,March,1940,030 - Il Duce and der Führer Have a Date - The Axis War Plans - WW2,660
30,March,1940,031 - Allies Plan to Hit the Nazis Where it Hurts - WW2,680
6,April,1940,032 - Germans and British make their way to the North - WW2,642
13,April,1940,033 - The Invasion of Norway and Denmark - WW2,808
20,April,1940,034 - The Scramble For Norway - WW2,668
27,April,1940,035 - Norway is Burning - WW2,706
,April,1940,System of a Nazi Terror - WW2 - WaH 002,1260
4,May,1940,"036 - Retreat in Norway, Preparations in Western Europe - WW2",701
11,May,1940,037 - Hitler Strikes in the West - The Invasion of the Benelux - WW2,789
18,May,1940,038 - Blitzkrieg in the West - The Invasion of France - WW2,1221
25,May,1940,039 - The Allied Clusterf**k - The Battle of France - WW2,845
1,June,1940,040 - The First Brexit? - The Dunkirk Evacuation - WW2,729
8,June,1940,041 - Will Britain Remain?! - WW2,776
,May,1940,The Strategy of Terror Bombing - WW2 - WaH 003,1154
15,June,1940,042 - Britain Votes to Leave - WW2,822
22,June,1940,043 - Nazi Europe?! - The Fall of France - WW2,858
29,June,1940,044 - Hitler ❤️Paris - German Victory in France - WW2,733
6,July,1940,045 - Do the Brits hate the French?! - The Bombing of Mers-el-Kébir - WW2,716
,June,1940,The European Migration Crisis - WW2 - WaH 004,1180
13,July,1940,046 - The Dictator of France - The Rise of Philippe Pétain - WW2 - 046,725
20,July,1940,047 - Good People on Both Sides? - Hitler's Peace Offer to the Allies - WW2,695
27,July,1940,048 - No Deal... Herr Hitler! - The Battle of Britain Begins - WW2,723
3,August,1940,049 - The Hippo vs. the Bulldog - The Battle of Britain Heats Up - WW2,631
10,August,1940,"050 - Hail Mussolini, Haile Selassie's Usurper - The War in Somaliland - WW2",730
17,August,1940,051 - Il Duce Kicks Churchill Where it Hurts - The British Lose Somaliland - WW2,707
24,August,1940,052 - The Battle of Britain is a Bitch - WW2,756
31,August,1940,"053 - 366 Days of Crushed Hopes, Suffering and Death - WW2",762
07,September,1940,"054 - Burn London, Burn - The Blitz Begins - WW2 - 054",776
14,September,1940,055 - The Nazi Invasion of Britain?! - Operation Sealion - WW2,713
21,September,1940,056 - The Brits teach the Germans to bugger off! - WW2,695
28,September,1940,057 - An Axis of Evil is Complete - Japan Joins Italy and Germany - WW2,777
5,October,1940,058 - Hitler and the Art of the Deal - German Negotiations with Spain - WW2,782
12,October,1940,"059 - It’s Raining Bombs, Keep Calm and Carry On - Life During the Blitz - WW2",745
19,October,1940,060 - USA enters WW2 in 1940?! - WW2,766
26,October,1940,061 - Hitler is Disappointed by his Allies - WW2,730
2,November,1940,062 - Mussolini plays Hitler like a Fiddle - The Invasion of Greece - WW2,704
9,November,1940,"063 - Britain’s First Victory, Germany Plunders Europe & Mussolini’s Folly - WW2",787
16,November,1940,064 - Britain shows Japan how to Attack Pearl Harbor - Battle of Taranto - WW2,676
23,November,1940,065 - Cracks in the Soviet-Nazi Alliance - WW2 - 065,728
30,November,1940,066 - The German Plan to Destroy French Culture - The Occupation of France - WW2,723
War,Against,Humanity,The British Blitz Spirit is a Myth - WW2,569
7,December,1940,067 - The Road to Moscow - German Invasion Plans - WW2,776
War,Against,Humanity,The Few Who Opposed Hitler - German Resistance in 1940 - WW2,865
14,December,1940,068 - The Empire Strikes Back - Britain’s Operation Compass - WW2,811
War,Against,Humanity,"Vive la Résistance! well, not really... French Resistance 1940 - WW2",984
21,December,1940,069 - Red Beard’s Ghost Returns - German Invasion Plans - WW2,720
28,December,1940,"070 - Winter is Coming, Peace is Not - The Frozen Fronts - WW2",733
4,January,1941,071 - It's 1941 - A World at War - WW2,785
11,January,1941,072 - Fighting Far Away From Home - Allied Advance in Africa - WW2,737
18,January,1941,073 - Mao Against Everyone - China at War and Civil War - WW2,764
25,January,1941,"074 - When Anti-Semites Infight, Jews Still Die - Pogroms in Romania - WW2",753
1,February,1941,"075 - Africa, the Axis’ Achilles Heel - The Allied African Campaigns - WW2",729
8,February,1941,076 - Rommel to fix the Bungle in Benghazi - WW2,777
15,February,1941,077 - Enter Erwin Rommel - The British Advance in Africa - WW2,690
War,Against,Humanity,Royal Resistance in Benelux and Scandinavia 1940 - WW2,1048
22,February,1941,"078 - The Brits Will Walk 500 Miles, and They Will Walk 500 More - WW2",731
28,February,1941,"079 - The Nazis Building Bridges, Not Walls - WW2",819
